skill
"""mission critical"" uptime mindset"
"""r"""
"""show processlist"""
"""trustworthy ai"""
$100000  $150000 salary range
$20m+ annual sales quota
$30.25  $45.41 per hour
$3040 hourly pay
$44/hr to $48/hr
$45500 $48500 (potentially higher based on work experience)
$5560/hr contracttocontract
$6000.00 signon bonus
$74476.00  $100000.00 annual rate
'big data' data pipelines
'big data' data stores
(deep) neural networks
* 10 years of experience
* 57 years of experience
* 8+ years of experience
* ability to work in the united states
* access points
* actionable targets
* active directory
* administrative assistance
* agile
* airflow
* algorithm selection
* analytical data
* analytical thinking
* artificial intelligence
* asana
* asset tagging
* associate's degree in related field
* attention to detail
* audit findings
* automation
* aws
* azure
* azure cloud services
* azure dev ops
* bachelor's degree in engineering technology or science
* bachelor’s degree
* backup and recovery
* behaviordriven development
* big data
* biology
* bitbucket
* breakfix
* business intelligence
* business problem modeling
* cassandra
* chart audits
* chart corrections
* circleci
* claim processes
* clean room/dry room
* clinical experience
* cloud computing
* cloud pipelines
* collaboration
* commercial analytics
* communication
* communication skills
* computer engineering
* computer science
* construction management
* continuous delivery
* continuous deployment
* continuous integration
* cpg
* customer service skills
* dashboard
* data analysis
* data and root cause analysis
* data center/mission critical
* data cleaning
* data engineering
* data entry
* data entry and management
* data governance
* data handling
* data integrity
* data interpretation
* data lake
* data management
* data mart
* data mining
* data pipeline
* data preparation
* data quality
* data science
* data security
* data upload troubleshooting
* data visualization
* data warehouse
* data wrangling
* databases
* databricks
* deep learning
* deployment
* devops
* diagnostic disease signatures
* disease outcomes
* distributed systems
* docker
* drug development
* dynamodb
* easygoing personality
* eeg
* ekg
* elasticsearch
* electrical engineering
* electronic engineering
* electronic health records (ehrs)
* emr
* emr system (kp health connect)
* encounter
* english
* error trends
* etl
* excellent customer service
* extreme programming
* fault tolerance
* feature engineering
* firewalls
* flink
* flume
* friendly personality
* ftp setup
* general computer skills
* git
* github
* glue
* google meet
* hadoop
* hadoop distributed file system (hdfs)
* hardtodiagnose diseases
* hardware architecture
* hbase
* health information management
* help desk
* high availability
* hipchat
* hive
* hospital/medical
* human health
* hyper converged infrastructure
* imac
* industrial tilt wall/imp/cold storage
* iri
* it ticket management system
* java
* jenkins
* jira
* json
* kafka
* kanban
* kinesis
* kubernetes
* kvm units
* labor management
* labs
* lambda
* lead or supervisory experience
* lean startup
* life science/pharmaceutical
* lucene
* machine learning
* mapreduce
* mechanical engineering
* medical center operations
* medical record information abstracting
* medical terminology
* meds
* mesos
* microsoft office suite
* microsoft sql server
* microsoft teams
* mob programming
* model building
* model deployment
* model evaluation
* model scoring
* mongodb
* monitoring and maintenance
* ms degree
* ms project
* multivariate analysis
* natural language processing
* network infrastructure
* network switches
* nielsen
* nifi
* nomad
* nosql
* numerator
* oozie
* orders/results
* organizational skills
* pair programming
* parallel processing
* patching
* pc applications (ms word excel access powerpoint)
* phd
* pig
* postdoctoral experience
* predictive statistics
* primavera p6
* prioritization
* probability theory
* problem solving
* productivity
* project documentation
* project management
* project management software
* python
* pytorch
* quality assurance
* rack and stack
* radiology
* rare diseases
* record keeping
* record keeping software
* redis
* redshift
* remediation
* remote access
* report generation
* reporting
* research methods
* retail/cpg syndicated data sources
* risk areas
* risk management
* routers
* samza
* san fabric switches
* scala
* scala development
* scalability
* scheduling
* scrum
* semiconductor
* server/client operations
* slack
* snowflake
* software engineering
* software: ms office suite (word excel powerpoint) analytical software statistical software
* solr
* spark
* spins
* sql
* sqoop
* statistical modeling
* statistics
* storage array configuration
* storm
* subcontractor management
* swarm
* system engineering
* tape management
* task management and prioritization
* tcp/ip standards
* team management
* technical writing
* tensorflow
* testdriven development
* time management
* top secret clearance sci eligible
* translational bioinformatics
* travis ci
* trello
* unit tests
* us army intelligence messaging formats
* us citizenship
* vendor error resolution
* vendor management
* visualization
* wan optimization devices
* web based applications
* xml
* yarn
* zoom
**concepts:**
**frameworks:**
**languages:**
**requirements:**
**software:**
.asp web application programming
.doc .xls .pdf .rtf .ppt formats
.docx or .xlsx formats (not accepted)
.net
.net (c# vb.net)
.net (c#)
.net 4.8 and later
.net 4.8 framework
.net 6.0
.net c#
.net c# or node.js
.net core
.net core 2.0+
.net development
.net framework
.net platform
.net scripting
.net standard
.net technologies
.net technology (.net web service web api javascript jquery c#)
.net web application development
.net/.net core
.net/mvc (razor & entity)
01 year experience in a clinical laboratory
01 year work experience
010 years of experience
02 years experience
02 years experience in computer programming
02 years of experience
02 years of health data analytics or similar experience
02 years of relevant experience (associate specialist)
03 years relevant work experience
1 course in mathematics
1 or more professional cloud certifications
1 or more professional cloud certifications: aws cloud practitioner aws solution architect  associate aws developer  associate aws security  specialty or aws solution architect  professional
1 to 3 years supervisory experience
1 year base period (starting aug 2023)
1 year experience
1 year experience (preferred)
1 year experience in cloud computing
1 year experience using bam+ sam system
1 year experience using jack henry’s 4/sight
1 year experience with cloud computing
1 year experience with cloud computing (aws microsoft azure google cloud)
1 year investigation experience
